var,Pep,Pep,Pep,Pep,Pep,Glu,Glu,Glu,Glu,Glu,Xyl,Xyl,Xyl,Xyl,Xyl,Cbh,Cbh,Cbh,Cbh,Cbh,Pho,Pho,Pho,Pho,Pho,NAG,NAG,NAG,NAG,NAG,Pox,Pox,Pox,Pox,Pox
C_A,32.13789751,36.6559158,33.87300879,57.78486093,37.00197678,7.687220581,8.494205109,7.523539757,10.63728195,8.136391215,1.892550146,1.704835919,1.189541961,2.32686934,1.984566925,0.493124607,0.829288758,0.805835445,1.067730773,0.778473247,21.33182047,17.92071138,18.65748261,35.13565444,24.19743548,2.700603404,2.377191729,2.189533103,3.503143485,2.301329731,0.033694779,0.019116466,0.017429719,0.033815261,0.022851406
C_B,21.97661938,32.00999783,29.89501142,44.98898885,32.29175208,10.18901709,9.483481842,8.609703578,10.0804732,9.022170336,0.687643411,1.400751222,0.792512207,1.053186071,0.918354762,0.442980612,0.695134122,0.507087437,0.455801977,0.250660139,8.714816844,11.43063911,12.97569346,12.24808066,11.72707396,2.635021134,3.978398728,3.497081622,8.231230469,3.719780582,0.018995984,0.021742972,0.019538153,0.029056225,0.026646586
C_C,18.94083565,22.71707164,21.98144125,25.12830457,33.44501477,20.94377705,21.06029667,21.53414311,27.11154879,27.20476448,1.073747017,0.927473962,1.069683877,1.126567842,1.480061058,0.469121027,0.331658782,0.380174868,0.497422077,0.88555077,20.07667068,21.1823068,21.65182351,21.72755202,33.11711868,1.797365626,1.712657958,1.776188709,2.212433201,2.318317787,0.030080321,0.034598394,0.023514056,0.022971888,0.031405622
C_D,12.55074224,11.67620097,5.947424516,12.75255946,17.23148543,17.40902882,17.70810026,18.05795742,18.98338604,17.03095737,1.216653924,1.103322836,1.150848776,1.030206004,1.267835706,0.483720879,0.61525093,0.419733287,0.394849223,0.657909325,14.5268932,11.44381602,11.69645707,11.75640579,14.79666245,2.646349104,2.1302871,2.371116035,2.650171785,2.027074699,0.018293173,0.023353414,0.02184739,0.017690763,0.020160643
C_E,21.55153496,25.0004181,21.60703423,20.90932913,26.96932073,8.149857136,8.780061496,8.460256298,9.253498602,9.980898659,1.02558514,1.179138752,1.157641246,0.994874418,1.298910569,0.090064685,0.573710148,0.40927069,0.473756752,0.535018511,12.92433389,14.55484069,12.99121014,10.81613955,20.47179702,1.874244679,1.708650049,2.046333216,2.156729636,1.643710978,0.019156627,0.036927711,0.019819277,0.01560241,0.024939759
T_A,8.537206246,7.645076487,8.289099153,6.040298695,15.33639637,3.952629335,2.297644431,1.795312741,3.125136883,2.024592765,0.623333908,0.230030853,0.381761981,0.249995475,0.413705377,0.218615401,0.152945514,0.20509513,0.143288177,0.235998607,4.982380322,7.501229742,9.054604686,4.962107892,8.60354312,0.674764117,0.276999272,0.648648243,0.080125763,1.024315041,0.047991968,0.05124498,0.048293173,0.033835341,0.073473896
T_B,87.10711296,100.2496344,83.59537907,92.50100584,100.9584995,9.536382091,12.16407836,6.31870221,9.731530519,8.932783468,2.650145492,2.389374654,1.797983645,1.732790935,1.956308797,1.18045278,1.361553138,1.013649819,1.356787339,0.961226031,48.50003115,33.78041101,32.64004772,27.84736883,36.94925461,2.275427975,1.413307337,2.327051965,2.425137546,2.590334315,0.029337349,0.039518072,0.035843373,0.035,0.04373494
T_C,29.48644072,30.86328034,37.91062997,32.92058116,33.7761318,6.80633641,7.673221711,6.086558919,5.59795084,7.736267914,2.037839888,1.728988137,2.346691639,2.161380588,0.982596406,0.776809896,0.782255748,1.190694643,1.136236124,0.357479297,26.95336893,22.98592007,33.61915745,33.20402827,28.00305271,1.789889056,2.344607292,2.21185421,2.226077754,1.723512515,0.024056225,0.018995984,0.034056225,0.044718876,0.04502008
T_D,15.55989777,12.60483801,14.6135237,16.28248537,16.46313227,6.002444007,4.815119333,4.371099155,2.67842555,3.296619388,0.822510673,0.636712286,0.620655636,0.678000817,0.856917782,0.372823508,0.028405533,0.200614521,0.193816798,0.207412244,23.0340728,11.62025799,15.10781252,13.22388978,20.91580846,1.123354463,0.736796766,0.736796766,0.856238751,1.199362999,0.044578313,0.017831325,0.020481928,0.032710843,0.029698795
T_E,24.11137737,22.72248946,22.95136986,24.33505595,26.4521997,5.31889671,4.650580764,5.255068783,6.268806454,4.688126603,1.318021221,1.22785049,1.22785049,1.22785049,1.380447112,0.603658626,0.480800925,0.574750932,0.524162467,0.592818241,14.80148674,13.57903989,14.27342296,11.95742672,13.1965055,1.690688897,1.919533459,1.538125856,1.542140673,1.807118587,0.024859438,0.019618474,0.028172691,0.027570281,0.034136546
